Accession	Virus_Name	NCBI_Taxonomy	Viruses	Realm	Kingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species
YP_009553537	Cacao swollen shoot Ghana J virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Caulimoviridae;Badnavirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
YP_009553538	Cacao swollen shoot Ghana J virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Caulimoviridae;Badnavirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
YP_009553539	Cacao swollen shoot Ghana J virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Caulimoviridae;Badnavirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
YP_009553540	Cacao swollen shoot Ghana J virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Caulimoviridae;Badnavirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
YP_009553541	Cacao swollen shoot Ghana K virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Caulimoviridae;Badnavirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
YP_009553542	Cacao swollen shoot Ghana K virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Caulimoviridae;Badnavirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
YP_009553543	Cacao swollen shoot Ghana K virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Caulimoviridae;Badnavirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
YP_009553544	Cacao swollen shoot Ghana K virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Caulimoviridae;Badnavirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
YP_009553545	Cacao swollen shoot Ghana K virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Caulimoviridae;Badnavirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
YP_009553546	Cacao bacilliform Sri Lanka virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Caulimoviridae;Badnavirus;Badnavirus theobromae	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
YP_009553547	Cacao bacilliform Sri Lanka virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Caulimoviridae;Badnavirus;Badnavirus theobromae	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
YP_009553548	Cacao bacilliform Sri Lanka virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Caulimoviridae;Badnavirus;Badnavirus theobromae	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
